,0,1,2,3,,,
5,Fresh Opium Trader price (US$/Kg),82,93,14%,128,93,-27%
6,Heroin High Quality,"3,243","3,364",4%,"3,429","3,364",-2%
7,Heroin Medium Quality,"2,033","2,122",4%,"2,320","2,122",-9%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,May_2018,June_2018,"Change  
%",June_2017,June_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),101,112,11%,154,112,-27%
3,Dry opium Trader price (US$/Kg),109,119,9%,162,119,-27%
4,Fresh Opium Farm-gate price (US$/Kg),74,86,16%,122,86,-29%
5,Fresh Opium Trader price (US$/Kg),82,93,14%,128,93,-27%
6,Heroin High Quality,"3,243","3,364",4%,"3,429","3,364",-2%
7,Heroin Medium Quality,"2,033","2,122",4%,"2,320","2,122",-9%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,May_2018,June_2018,"Change  
%",June_2017,June_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),101,112,11%,154,112,-27%
3,Dry opium Trader price (US$/Kg),109,119,9%,162,119,-27%
4,Fresh Opium Farm-gate price (US$/Kg),74,86,16%,122,86,-29%
5,Fresh Opium Trader price (US$/Kg),82,93,14%,128,93,-27%
6,Heroin High Quality,"3,243","3,364",4%,"3,429","3,364",-2%
7,Heroin Medium Quality,"2,033","2,122",4%,"2,320","2,122",-9%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,May_2018,June_2018,"Change  
%",June_2017,June_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),101,112,11%,154,112,-27%
3,Dry opium Trader price (US$/Kg),109,119,9%,162,119,-27%
4,Fresh Opium Farm-gate price (US$/Kg),74,86,16%,122,86,-29%
5,Fresh Opium Trader price (US$/Kg),82,93,14%,128,93,-27%
6,Heroin High Quality,"3,243","3,364",4%,"3,429","3,364",-2%
7,Heroin Medium Quality,"2,033","2,122",4%,"2,320","2,122",-9%
,0,1,2,3,4,5,6
0,able 3:  Aaverage price of dry opium (Chaynaki quality) at farm-gate level (US$/Kg),,,,,,
1,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Jun-May) 
%",Hilmand,,"Price 
change 
(Jun-May) 
%"
2,,18-May,18-Jun,,18-May,18-Jun,
3,"Farm-gate price 
(US$/Kg)",84,87,3%,198,188,-5%
,0,1,2,3,4,5,6
0,able 3:  Aaverage price of dry opium (Chaynaki quality) at farm-gate level (US$/Kg),,,,,,
1,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Jun-May) 
%",Hilmand,,"Price 
change 
(Jun-May) 
%"
2,,18-May,18-Jun,,18-May,18-Jun,
3,"Farm-gate price 
(US$/Kg)",84,87,3%,198,188,-5%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,June_2018,Jul_2018,"Change  
%",Jul_2017,Jul_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),112,91,-18%,137,91,-33%
3,Dry opium Trader price (US$/Kg),119,99,-17%,145,99,-32%
4,Fresh Opium Farm-gate price (US$/Kg),86,71,-17%,122,71,-41%
5,Fresh Opium Trader price (US$/Kg),93,78,-16%,128,78,-39%
6,Heroin High Quality,"3,364","2,696",-20%,"3,339","2,696",-19%
7,Heroin Medium Quality,"2,122","1,797",-15%,"2,237","1,797",-20%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,June_2018,Jul_2018,"Change  
%",Jul_2017,Jul_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),112,91,-18%,137,91,-33%
3,Dry opium Trader price (US$/Kg),119,99,-17%,145,99,-32%
4,Fresh Opium Farm-gate price (US$/Kg),86,71,-17%,122,71,-41%
5,Fresh Opium Trader price (US$/Kg),93,78,-16%,128,78,-39%
6,Heroin High Quality,"3,364","2,696",-20%,"3,339","2,696",-19%
7,Heroin Medium Quality,"2,122","1,797",-15%,"2,237","1,797",-20%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,June_2018,Jul_2018,"Change  
%",Jul_2017,Jul_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),112,91,-18%,137,91,-33%
3,Dry opium Trader price (US$/Kg),119,99,-17%,145,99,-32%
4,Fresh Opium Farm-gate price (US$/Kg),86,71,-17%,122,71,-41%
5,Fresh Opium Trader price (US$/Kg),93,78,-16%,128,78,-39%
6,Heroin High Quality,"3,364","2,696",-20%,"3,339","2,696",-19%
7,Heroin Medium Quality,"2,122","1,797",-15%,"2,237","1,797",-20%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,June_2018,Jul_2018,"Change  
%",Jul_2017,Jul_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),112,91,-18%,137,91,-33%
3,Dry opium Trader price (US$/Kg),119,99,-17%,145,99,-32%
4,Fresh Opium Farm-gate price (US$/Kg),86,71,-17%,122,71,-41%
5,Fresh Opium Trader price (US$/Kg),93,78,-16%,128,78,-39%
6,Heroin High Quality,"3,364","2,696",-20%,"3,339","2,696",-19%
7,Heroin Medium Quality,"2,122","1,797",-15%,"2,237","1,797",-20%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price 
change 
(Jul-Jun) 
%",Hilmand,,"Price 
change 
(Jul-Jun) 
%"
1,,18-Jun,18-Jul,,18-Jun,18-Jul,
2,"Farm-gate price 
(US$/Kg)",87,81,-7%,188,177,-5%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Jul_2018,Aug_2018,"Change  
%",Aug_2017,Aug_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),91,88,-4%,136,88,-36%
3,Dry opium Trader price (US$/Kg),99,94,-5%,143,94,-34%
4,Fresh Opium Farm-gate price (US$/Kg),71,67,-7%,110,67,-39%
5,Fresh Opium Trader price (US$/Kg),78,73,-7%,115,77,-33%
6,Heroin High Quality,"2,696","2,866",6%,"3,325","2,866",-14%
7,Heroin Medium Quality,"1,797","2,206",23%,"2,270","2,206",-3%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Jul_2018,Aug_2018,"Change  
%",Aug_2017,Aug_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),91,88,-4%,136,88,-36%
3,Dry opium Trader price (US$/Kg),99,94,-5%,143,94,-34%
4,Fresh Opium Farm-gate price (US$/Kg),71,67,-7%,110,67,-39%
5,Fresh Opium Trader price (US$/Kg),78,73,-7%,115,77,-33%
6,Heroin High Quality,"2,696","2,866",6%,"3,325","2,866",-14%
7,Heroin Medium Quality,"1,797","2,206",23%,"2,270","2,206",-3%
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Aug-Jul) 
%",Hilmand,"Price 
change 
(Aug-Jul) 
%",,
1,,"Jul-18
Aug-18",,"Jul-18
Aug-18",,,
2,"Farm-gate price 
(US$/Kg)","81
78",-3%,"177
178",1%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Aug_2018,Sep_2018,"Change  
%",Sep_2017,Sep_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),88,82,-6%,133,82,-38%
3,Dry opium Trader price (US$/Kg),94,88,-6%,140,88,-37%
4,Fresh Opium Farm-gate price (US$/Kg),67,68,1%,108,68,-37%
5,Fresh Opium Trader price (US$/Kg),73,78,6%,115,78,-33%
6,Heroin High Quality,"2,866","2,916",2%,"3,300","2,916",-12%
7,Heroin Medium Quality,"2,206","2,177",-1%,"2,264","2,177",-4%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Aug_2018,Sep_2018,"Change  
%",Sep_2017,Sep_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),88,82,-6%,133,82,-38%
3,Dry opium Trader price (US$/Kg),94,88,-6%,140,88,-37%
4,Fresh Opium Farm-gate price (US$/Kg),67,68,1%,108,68,-37%
5,Fresh Opium Trader price (US$/Kg),73,78,6%,115,78,-33%
6,Heroin High Quality,"2,866","2,916",2%,"3,300","2,916",-12%
7,Heroin Medium Quality,"2,206","2,177",-1%,"2,264","2,177",-4%
,0,1,2,3,4,,
0,able 3:  Aaverage price of dry opium (Chaynaki quality) at farm-gate level (US$/Kg),,,,,,
1,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Sep-Aug) 
%",Hilmand,"Price 
change 
(Sep-Aug) 
%",,
2,,"Aug-18
Sep-18",,"Aug-18
Sep-18",,,
3,"Farm-gate price 
(US$/Kg)","78.3
77.6",-1%,"178
172",-3%,,
,0,1,2,3,4,,
0,able 3:  Aaverage price of dry opium (Chaynaki quality) at farm-gate level (US$/Kg),,,,,,
1,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Sep-Aug) 
%",Hilmand,"Price 
change 
(Sep-Aug) 
%",,
2,,"Aug-18
Sep-18",,"Aug-18
Sep-18",,,
3,"Farm-gate price 
(US$/Kg)","78.3
77.6",-1%,"178
172",-3%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Sep_2018,Oct_2018,"Change  
%",Oct_2017,Oct_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),82,78,-6%,127,78,-39%
3,Dry opium Trader price (US$/Kg),88,84,-5%,134,84,-38%
4,Fresh Opium Farm-gate price (US$/Kg),68,66,-2%,101,66,-35%
5,Fresh Opium Trader price (US$/Kg),78,71,-8%,109,71,-34%
6,Heroin High Quality,"2,916","2,707",-7%,"3,497","2,707",-23%
7,Heroin Medium Quality,"2,177","2,134",-2%,"2,239","2,134",-5%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Sep_2018,Oct_2018,"Change  
%",Oct_2017,Oct_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),82,78,-6%,127,78,-39%
3,Dry opium Trader price (US$/Kg),88,84,-5%,134,84,-38%
4,Fresh Opium Farm-gate price (US$/Kg),68,66,-2%,101,66,-35%
5,Fresh Opium Trader price (US$/Kg),78,71,-8%,109,71,-34%
6,Heroin High Quality,"2,916","2,707",-7%,"3,497","2,707",-23%
7,Heroin Medium Quality,"2,177","2,134",-2%,"2,239","2,134",-5%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Sep_2018,Oct_2018,"Change  
%",Oct_2017,Oct_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),82,78,-6%,127,78,-39%
3,Dry opium Trader price (US$/Kg),88,84,-5%,134,84,-38%
4,Fresh Opium Farm-gate price (US$/Kg),68,66,-2%,101,66,-35%
5,Fresh Opium Trader price (US$/Kg),78,71,-8%,109,71,-34%
6,Heroin High Quality,"2,916","2,707",-7%,"3,497","2,707",-23%
7,Heroin Medium Quality,"2,177","2,134",-2%,"2,239","2,134",-5%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Sep_2018,Oct_2018,"Change  
%",Oct_2017,Oct_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),82,78,-6%,127,78,-39%
3,Dry opium Trader price (US$/Kg),88,84,-5%,134,84,-38%
4,Fresh Opium Farm-gate price (US$/Kg),68,66,-2%,101,66,-35%
5,Fresh Opium Trader price (US$/Kg),78,71,-8%,109,71,-34%
6,Heroin High Quality,"2,916","2,707",-7%,"3,497","2,707",-23%
7,Heroin Medium Quality,"2,177","2,134",-2%,"2,239","2,134",-5%
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Oct-Sep) 
%",Hilmand,"Price 
change 
(Oct-Sep) 
%",,
1,,"Sep-18
Oct-18",,"Sep-18
Oct-18",,,
2,"Farm-gate price 
(US$/Kg)","78
91",18%,"172
160",-7%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Oct_2018,Nov_2018,"Change  
%",Nov_2017,Nov_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),78,80,3%,120,80,-33%
3,Dry opium Trader price (US$/Kg),84,87,4%,127,87,-32%
4,Fresh Opium Farm-gate price (US$/Kg),66,61,-7%,99,61,-38%
5,Fresh Opium Trader price (US$/Kg),71,68,-5%,99,68,-31%
6,Heroin High Quality,"2,707","2,690",-1%,"3,221","2,690",-16%
7,Heroin Medium Quality,"2,134","2,007",-6%,"2,074","2,007",-3%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Oct_2018,Nov_2018,"Change  
%",Nov_2017,Nov_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),78,80,3%,120,80,-33%
3,Dry opium Trader price (US$/Kg),84,87,4%,127,87,-32%
4,Fresh Opium Farm-gate price (US$/Kg),66,61,-7%,99,61,-38%
5,Fresh Opium Trader price (US$/Kg),71,68,-5%,99,68,-31%
6,Heroin High Quality,"2,707","2,690",-1%,"3,221","2,690",-16%
7,Heroin Medium Quality,"2,134","2,007",-6%,"2,074","2,007",-3%
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Nov-Oct) 
%",Hilmand,"Price 
change 
(Nov-Oct) 
%",,
1,,"Oct-18
Nov-18",,"Oct-18
Nov-18",,,
2,"Farm-gate price 
(US$/Kg)","91
88",-4%,"160
163",2%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Nov_2018,Dec_2018,"Change  
%",Dec_2017,Dec_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),80,83,3%,118,83,-30%
3,Dry opium Trader price (US$/Kg),87,89,2%,126,89,-30%
4,Fresh Opium Farm-gate price (US$/Kg),61,64,4%,99,64,-36%
5,Fresh Opium Trader price (US$/Kg),68,71,4%,108,71,-34%
6,Heroin High Quality,"2,690","2,814",5%,"3,158","2,814",-11%
7,Heroin Medium Quality,"2,007","2,196",9%,"2,158","2,196",2%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Nov_2018,Dec_2018,"Change  
%",Dec_2017,Dec_2018,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),80,83,3%,118,83,-30%
3,Dry opium Trader price (US$/Kg),87,89,2%,126,89,-30%
4,Fresh Opium Farm-gate price (US$/Kg),61,64,4%,99,64,-36%
5,Fresh Opium Trader price (US$/Kg),68,71,4%,108,71,-34%
6,Heroin High Quality,"2,690","2,814",5%,"3,158","2,814",-11%
7,Heroin Medium Quality,"2,007","2,196",9%,"2,158","2,196",2%
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Dec-Nov) 
%",Hilmand,"Price 
change 
(Dec-Nov) 
%",,
1,,"Nov-18
Dec-18",,"Nov-18
Dec-18",,,
2,"Farm-gate price 
(US$/Kg)","88
95",8%,"163
159",-3%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Dec_2018,Jan_2019,"Change  
%",Jan_2018,Jan_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),83,84,1%,111,84,-24%
3,Dry opium Trader price (US$/Kg),89,90,1%,117,90,-23%
4,Fresh Opium Farm-gate price (US$/Kg),64,67,5%,91,67,-26%
5,Fresh Opium Trader price (US$/Kg),71,74,4%,99,74,-26%
6,Heroin High Quality,"2,814","2,440",-13%,"3,227","2,440",-24%
7,Heroin Medium Quality,"2,196","1,921",-13%,"2,142","1,921",-10%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Dec_2018,Jan_2019,"Change  
%",Jan_2018,Jan_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),83,84,1%,111,84,-24%
3,Dry opium Trader price (US$/Kg),89,90,1%,117,90,-23%
4,Fresh Opium Farm-gate price (US$/Kg),64,67,5%,91,67,-26%
5,Fresh Opium Trader price (US$/Kg),71,74,4%,99,74,-26%
6,Heroin High Quality,"2,814","2,440",-13%,"3,227","2,440",-24%
7,Heroin Medium Quality,"2,196","1,921",-13%,"2,142","1,921",-10%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Dec_2018,Jan_2019,"Change  
%",Jan_2018,Jan_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),83,84,1%,111,84,-24%
3,Dry opium Trader price (US$/Kg),89,90,1%,117,90,-23%
4,Fresh Opium Farm-gate price (US$/Kg),64,67,5%,91,67,-26%
5,Fresh Opium Trader price (US$/Kg),71,74,4%,99,74,-26%
6,Heroin High Quality,"2,814","2,440",-13%,"3,227","2,440",-24%
7,Heroin Medium Quality,"2,196","1,921",-13%,"2,142","1,921",-10%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Dec_2018,Jan_2019,"Change  
%",Jan_2018,Jan_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),83,84,1%,111,84,-24%
3,Dry opium Trader price (US$/Kg),89,90,1%,117,90,-23%
4,Fresh Opium Farm-gate price (US$/Kg),64,67,5%,91,67,-26%
5,Fresh Opium Trader price (US$/Kg),71,74,4%,99,74,-26%
6,Heroin High Quality,"2,814","2,440",-13%,"3,227","2,440",-24%
7,Heroin Medium Quality,"2,196","1,921",-13%,"2,142","1,921",-10%
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Jan-Dec) 
%",Hilmand,"Price 
change 
(Jan-Dec) 
%",,
1,,"Dec-18
Jan-19",,"Dec-18
Jan-19",,,
2,"Farm-gate price 
(US$/Kg)","94.9
94.6",-0.30%,"159
164",3%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Jan_2019,Feb_2019,"Change  
%",Feb_2018,Feb_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),84,79,-6%,113,79,-30%
3,Dry opium Trader price (US$/Kg),90,84,-6%,119,84,-29%
4,Fresh Opium Farm-gate price (US$/Kg),67,66,-2%,94,66,-30%
5,Fresh Opium Trader price (US$/Kg),74,72,-2%,103,72,-30%
6,Heroin High Quality,"2,440","2,461",1%,"3,249","2,461",-24%
7,Heroin Medium Quality,"1,921","1,867",-3%,"2,119","1,867",-12%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Jan_2019,Feb_2019,"Change  
%",Feb_2018,Feb_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),84,79,-6%,113,79,-30%
3,Dry opium Trader price (US$/Kg),90,84,-6%,119,84,-29%
4,Fresh Opium Farm-gate price (US$/Kg),67,66,-2%,94,66,-30%
5,Fresh Opium Trader price (US$/Kg),74,72,-2%,103,72,-30%
6,Heroin High Quality,"2,440","2,461",1%,"3,249","2,461",-24%
7,Heroin Medium Quality,"1,921","1,867",-3%,"2,119","1,867",-12%
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Feb-Jan) 
%",Hilmand,"Price 
change 
(Feb-Jan) 
%",,
1,,"Jan-19
Feb-19",,"Jan-19
Feb-19",,,
2,"Farm-gate price 
(US$/Kg)","95
88",-7%,"164
162",-1%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Feb_2019,Mar_2019,"Change  
%",Mar_2018,Mar_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),79,73,-7%,107,73,-31%
3,Dry opium Trader price (US$/Kg),84,78,-8%,114,78,-32%
4,Fresh Opium Farm-gate price (US$/Kg),66,57,-14%,89,57,-36%
5,Fresh Opium Trader price (US$/Kg),72,63,-13%,98,63,-35%
6,Heroin High Quality,"2,461","2,394",-3%,"3,156","2,394",-24%
7,Heroin Medium Quality,"1,867","1,784",-4%,"2,054","1,784",-13%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Feb_2019,Mar_2019,"Change  
%",Mar_2018,Mar_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),79,73,-7%,107,73,-31%
3,Dry opium Trader price (US$/Kg),84,78,-8%,114,78,-32%
4,Fresh Opium Farm-gate price (US$/Kg),66,57,-14%,89,57,-36%
5,Fresh Opium Trader price (US$/Kg),72,63,-13%,98,63,-35%
6,Heroin High Quality,"2,461","2,394",-3%,"3,156","2,394",-24%
7,Heroin Medium Quality,"1,867","1,784",-4%,"2,054","1,784",-13%
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Mar-Feb) 
%",Hilmand,"Price 
change 
(Mar-Feb) 
%",,
1,,"Feb-19
Mar-19",,"Feb-19
Mar-19",,,
2,"Farm-gate price 
(US$/Kg)","88
80",-9%,"162
163",0.30%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Mar_2019,Apr_2019,"Change  
%",Apr_2018,Apr_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),73,67,-8%,103,67,-34%
3,Dry opium Trader price (US$/Kg),78,72,-7%,111,72,-35%
4,Fresh Opium Farm-gate price (US$/Kg),57,52,-8%,89,52,-42%
5,Fresh Opium Trader price (US$/Kg),63,58,-8%,98,58,-41%
6,Heroin High Quality,"2,394","2,300",-4%,"3,085","2,300",-25%
7,Heroin Medium Quality,"1,784","1,675",-6%,"2,040","1,675",-18%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Mar_2019,Apr_2019,"Change  
%",Apr_2018,Apr_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),73,67,-8%,103,67,-34%
3,Dry opium Trader price (US$/Kg),78,72,-7%,111,72,-35%
4,Fresh Opium Farm-gate price (US$/Kg),57,52,-8%,89,52,-42%
5,Fresh Opium Trader price (US$/Kg),63,58,-8%,98,58,-41%
6,Heroin High Quality,"2,394","2,300",-4%,"3,085","2,300",-25%
7,Heroin Medium Quality,"1,784","1,675",-6%,"2,040","1,675",-18%
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Apr-Mar) 
%",Hilmand,"Price 
change 
(Apr-Mar) 
%",,
1,,"Mar-19
Apr-19",,"Mar-19
Apr-19",,,
2,"Farm-gate price 
(US$/Kg)","80
72",-10%,"163
146",-10%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Apr_2019,May_2019,"Change  
%",May_2018,May_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),67,61,-10%,101,61,-40%
3,Dry opium Trader price (US$/Kg),72,65,-10%,109,65,-40%
4,Fresh Opium Farm-gate price (US$/Kg),52,45,-13%,89,45,-49%
5,Fresh Opium Trader price (US$/Kg),58,50,-15%,98,50,-49%
6,Heroin High Quality,"2,300","2,122",-8%,"3,243","2,122",-35%
7,Heroin Medium Quality,"1,675","1,532",-9%,"2,033","1,532",-25%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Apr_2019,May_2019,"Change  
%",May_2018,May_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),67,61,-10%,101,61,-40%
3,Dry opium Trader price (US$/Kg),72,65,-10%,109,65,-40%
4,Fresh Opium Farm-gate price (US$/Kg),52,45,-13%,89,45,-49%
5,Fresh Opium Trader price (US$/Kg),58,50,-15%,98,50,-49%
6,Heroin High Quality,"2,300","2,122",-8%,"3,243","2,122",-35%
7,Heroin Medium Quality,"1,675","1,532",-9%,"2,033","1,532",-25%
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(May-Apr) 
%",Hilmand,"Price 
change 
(May-Apr) 
%",,
1,,"Apr-19
May-19",,"Apr-19
May-19",,,
2,"Farm-gate price 
(US$/Kg)","72
63",-13%,"146
129",-12%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,May_2019,June_2019,"Change  
%",June_2018,June_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),61,59,-3%,111,59,-47%
3,Dry opium Trader price (US$/Kg),65,63,-2%,119,63,-47%
4,Fresh Opium Farm-gate price (US$/Kg),45,43,-6%,86,43,-50%
5,Fresh Opium Trader price (US$/Kg),50,46,-6%,93,46,-50%
6,Heroin High Quality,"2,122","2,008",-5%,"3,364","2,008",-40%
7,Heroin Medium Quality,"1,532","1,498",-2%,"2,122","1,498",-29%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,May_2019,June_2019,"Change  
%",June_2018,June_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),61,59,-3%,111,59,-47%
3,Dry opium Trader price (US$/Kg),65,63,-2%,119,63,-47%
4,Fresh Opium Farm-gate price (US$/Kg),45,43,-6%,86,43,-50%
5,Fresh Opium Trader price (US$/Kg),50,46,-6%,93,46,-50%
6,Heroin High Quality,"2,122","2,008",-5%,"3,364","2,008",-40%
7,Heroin Medium Quality,"1,532","1,498",-2%,"2,122","1,498",-29%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,May_2019,June_2019,"Change  
%",June_2018,June_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),61,59,-3%,111,59,-47%
3,Dry opium Trader price (US$/Kg),65,63,-2%,119,63,-47%
4,Fresh Opium Farm-gate price (US$/Kg),45,43,-6%,86,43,-50%
5,Fresh Opium Trader price (US$/Kg),50,46,-6%,93,46,-50%
6,Heroin High Quality,"2,122","2,008",-5%,"3,364","2,008",-40%
7,Heroin Medium Quality,"1,532","1,498",-2%,"2,122","1,498",-29%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,May_2019,June_2019,"Change  
%",June_2018,June_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),61,59,-3%,111,59,-47%
3,Dry opium Trader price (US$/Kg),65,63,-2%,119,63,-47%
4,Fresh Opium Farm-gate price (US$/Kg),45,43,-6%,86,43,-50%
5,Fresh Opium Trader price (US$/Kg),50,46,-6%,93,46,-50%
6,Heroin High Quality,"2,122","2,008",-5%,"3,364","2,008",-40%
7,Heroin Medium Quality,"1,532","1,498",-2%,"2,122","1,498",-29%
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Jun-May) 
%",Hilmand,"Price 
change 
(Jun-May) 
%",,
1,,"May-19
Jun-19",,"May-19
Jun-19",,,
2,"Farm-gate price 
(US$/Kg)","63
64",2%,"129
122",-5%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,June_2019,July_2019,"Change  
%",July_2018,July_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),59,66,11%,91,66,-27%
3,Dry opium Trader price (US$/Kg),63,77,21%,99,77,-22%
4,Fresh Opium Farm-gate price (US$/Kg),43,53,24%,71,53,-25%
5,Fresh Opium Trader price (US$/Kg),46,57,23%,78,57,-27%
6,Heroin High Quality,"2,008","2,025",1%,"2,696","2,025",-25%
7,Heroin Medium Quality,"1,498","1,433",-4%,"1,797","1,433",-20%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,June_2019,July_2019,"Change  
%",July_2018,July_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),59,66,11%,91,66,-27%
3,Dry opium Trader price (US$/Kg),63,77,21%,99,77,-22%
4,Fresh Opium Farm-gate price (US$/Kg),43,53,24%,71,53,-25%
5,Fresh Opium Trader price (US$/Kg),46,57,23%,78,57,-27%
6,Heroin High Quality,"2,008","2,025",1%,"2,696","2,025",-25%
7,Heroin Medium Quality,"1,498","1,433",-4%,"1,797","1,433",-20%
,0,1,2,3,4,,
0,"Dry Opium 
(Chaynaki quality)",Balkh,"Price 
change 
(Jul-Jun) %",Hilmand,"Price 
change 
(Jul-Jun) 
%",,
1,,"Jun-19
Jul-19",,"Jun-19
Jul-19",,,
2,"Farm-gate price 
(US$/Kg)","64
79",24%,"122
125",3%,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,July_2019,August_2019,"Change  
%",August_2018,August_2019,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),66,70,6%,88,70,-20%
